#;$id;libellé SEDA;libellé anglais
;;application/vnd.chemdraw+xml;vnd.chemdraw+xml
;;application/vnd.chipnuts.karaoke-mmd;vnd.chipnuts.karaoke-mmd
;;application/vnd.cinderella;vnd.cinderella
;;application/vnd.cirpack.isdn-ext;vnd.cirpack.isdn-ext
;;application/vnd.claymore;vnd.claymore
;;application/vnd.cloanto.rp9;vnd.cloanto.rp9
;;application/vnd.clonk.c4group;vnd.clonk.c4group
;;application/vnd.cluetrust.cartomobile-config;vnd.cluetrust.cartomobile-config
;;application/vnd.cluetrust.cartomobile-config-pkg;vnd.cluetrust.cartomobile-config-pkg
;;application/vnd.commerce-battelle;vnd.commerce-battelle
;;application/vnd.commonspace;vnd.commonspace
;;application/vnd.cosmocaller;vnd.cosmocaller
;;application/vnd.contact.cmsg;vnd.contact.cmsg
;;application/vnd.crick.clicker;vnd.crick.clicker
;;application/vnd.crick.clicker.keyboard;vnd.crick.clicker.keyboard
;;application/vnd.crick.clicker.palette;vnd.crick.clicker.palette
;;application/vnd.crick.clicker.template;vnd.crick.clicker.template
;;application/vnd.crick.clicker.wordbank;vnd.crick.clicker.wordbank
;;application/vnd.criticaltools.wbs+xml;vnd.criticaltools.wbs+xml
;;application/vnd.ctc-posml;vnd.ctc-posml
;;application/vnd.ctct.ws+xml;vnd.ctct.ws+xml
;;application/vnd.cups-pdf;vnd.cups-pdf
;;application/vnd.cups-postscript;vnd.cups-postscript
;;application/vnd.cups-ppd;vnd.cups-ppd
;;application/vnd.cups-raster;vnd.cups-raster
;;application/vnd.cups-raw;vnd.cups-raw
;;application/vnd.curl;vnd.curl
;;application/vnd.cybank;vnd.cybank
;;application/vnd.data-vision.rdz;vnd.data-vision.rdz
;;application/vnd.dece.data;vnd.dece.data
;;application/vnd.dece.ttml+xml;vnd.dece.ttml+xml
;;application/vnd.dece.unspecified;vnd.dece.unspecified
;;application/vnd.denovo.fcselayout-link;vnd.denovo.fcselayout-link
;;application/vnd.dir-bi.plate-dl-nosuffix;vnd.dir-bi.plate-dl-nosuffix
;;application/vnd.dna;vnd.dna
;;application/vnd.dolby.mobile.1;vnd.dolby.mobile.1
;;application/vnd.dolby.mobile.2;vnd.dolby.mobile.2
;;application/vnd.dpgraph;vnd.dpgraph
;;application/vnd.dreamfactory;vnd.dreamfactory
